Processor Pool Total:  128589636 Used:   29990492 Free:   98599144
      I/O Pool Total:   16777216 Used:    1706016 Free:   15071200
      PCI Pool Total:    4194304 Used:     385248 Free:    3809056
Transient Pool Total:   16777216 Used:      17912 Free:   16759304

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
   0   0   61160588   33736544   24100248          0          0 *Init*          
   0   0      12052     549084      12052          0          0 *Sched*         
   0   0  100969628  100429236     765532     180836     180836 *Dead*          
   0   0          0          0     394412          0          0 *MallocLite*    
   1   0     383536          0     390740          0          0 Chunk Manager   
   2   0        252        252       4204          0          0 Load Meter      
   3   0          0          0       7068          0          0 chkpt message ha
   4   0      65588          0      90792          0          0 EDDRI_MAIN      
   5   0       6072        252      13084          0          0 Check heaps     
   6   0          0          0       7204          0          0 Pool Manager    
   7   0        252        252       7204          0          0 Timers          
   8   0        252        252      10204          0          0 ATM AutoVC Perio
   9   0        252        252       7204          0          0 ATM VC Auto Crea
  10   0          0          0       7204          0          0 IPC Dynamic Cach
  11   0          0          0       7204          0          0 IPC Zone Manager
  12   0          0          0       7204          0          0 IPC Periodic Tim
  13   0          0          0       7204          0          0 IPC Deferred Por
  14   0        744          0       7948          0          0 IPC Seat Manager
  15   0          0          0       7204          0          0 IPC BackPressure
  16   0      10052          0      17256          0          0 EnvMon          
  17   0          0          0      10204          0          0 OIR Handler     
  18   0          0          0      25204          0          0 Crash writer    
  19   0      20744        548      27400          0          0 ARP Input       
  20   0        124        124       7204          0          0 ARP Background  
  21   0        252        252       7204          0          0 ATM Idle Timer  
  22   0          0          0       7204          0          0 CEF MIB API     
  23   0        252        252       7204          0          0 AAA high-capacit
  24   0          0          0       7204          0          0 AAA_SERVER_DEADT
  25   0          0          0      13204          0          0 Policy Manager  
  26   0        252        252       7204          0          0 DDR Timers      
  27   0       6344          0      13548          0          0 Entity MIB API  
  28   0        252        252       7204          0          0 Serial Backgroun
  29   0          0          0       7204          0          0 RO Notify Timers
  30   0          0          0       4204          0          0 RMI RM Notify Wa
  31   0     528508          0     538712     213192          0 EEM ED Syslog   
  32   0        252        252       7204          0          0 SMART           
  33   0        252        252       7204          0          0 GraphIt         
  34   0        252        252      13204          0          0 Dialer event    
  35   0          0          0       7204          0          0 SERIAL A'detect 
  36   0        252        252      13204          0          0 XML Proxy Client
  37   0          0          0       7204          0          0 Critical Bkgnd  
  38   0      23316          0      14908          0          0 Net Background  
  39   0        480        220      13464          0          0 IDB Work        
  40   0        252        252      13204          0          0 Logger          
  41   0      40808        836       7204          0          0 TTY Background  
  42   0          0          0      10204          0          0 Per-Second Jobs 
  43   0      65828      65588      73032          0          0 IF-MGR control p
  44   0          0          0       7204          0          0 IF-MGR event pro
  45   0          0          0       4204          0          0 Inode Table Dest
  46   0          0          0       7204          0          0 IKE HA Mgr      
  47   0          0          0       7204          0          0 IPSEC HA Mgr    
  48   0      35940          0       8456          0          0 rf task         
  49   0          0          0       7204          0          0 Net Input       
  50   0        252        252       7204          0          0 Compute load avg
  51   0          0          0       7204          0          0 Per-minute Jobs 
  52   0          0          0       7204          0          0 Transport Port A
  53   0          0          0       7204          0          0 HC Counter Timer
  54   0          0          0       7204          0          0 Coproc Event Pro
  55   0          0          0       7204          0          0 POS APS Event Pr
  56   0          0          0       7204          0          0 SONET alarm time
  57   0          0          0       7204          0          0 CSP Timer       
  58   0          0          0       7204          0          0 FPD Management P
  59   0          0          0       7204          0          0 FPD Action Proce
  60   0      57904        252      64856          0          0 VNM DSPRM MAIN  
  61   0        252        252       7204          0          0 VMI Background  
  62   0          0          0       7204          0          0 RF_INTERDEV_DELA
  63   0          0          0      25204          0          0 RF_INTERDEV_SCTP
  64   0          0          0      10204          0          0 ISA Common Helpe
  65   0       2520       2520       7624          0          0 Flash MIB Update
  66   0          0          0       7204          0          0 Flash Card Oir  
  67   0          0          0       7204          0          0 CES Line Conditi
  68   0          0          0      25204          0          0 CF_INTERDEV_SCTP
  69   0          0          0       7068          0          0 cpf_process_msg_
  70   0        252        252      13204          0          0 Ethernet CFM    
  71   0        252        252      13204          0          0 Ethernet Timer C
  72   0          0          0       7204          0          0 delayed evt hand
  73   0     631996        252       7204          0          0 AAA Server      
  74   0          0          0       7204          0          0 AAA ACCT Proc   
  75   0      49400          0      56604          0          0 ACCT Periodic Pr
  76   0        252        252       7204          0          0 AAA Dictionary R
  77   0        624        252       7452          0          0 CDP Protocol    
  78   0        252        252      10204          0          0 Ethernet OAM Pro
  79   0        252          0      13456          0          0 CEF switching ba
  80   0      20680        220      33664          0          0 ADJ resolve proc
  81   0      17040          0      11176          0          0 IP ARP Adjacency
  82   0      49384          0      56588          0          0 IP ARP Retry Age
  83   0      39900      38304      14800          0          0 IP Input        
  84   0          0          0       7204          0          0 ICMP event handl
  85   0        252        252       7204          0          0 TurboACL        
  86   0        252        252       7204          0          0 TurboACL chunk  
  87   0          0          0       7204          0          0 IPv6 Echo event 
  88   0        252        252       7204          0          0 MOP Protocols   
  89   0          0          0       7204          0          0 LSP Tunnel FRR  
  90   0          0          0      10204          0          0 MPLS Auto-Tunnel
  91   0        504        504      13204          0          0 PPP Hooks       
  92   0    6527684    6527684      10068          0          0 OSPF-100 Hello  
  93   0          0          0      13204          0          0 SSS Manager     
  94   0          0          0       7204          0          0 SSS Feature Mana
  95   0          0          0       7204          0          0 SSS Feature Time
  96   0        504        252      13456          0          0 Spanning Tree   
  97   0          0          0       7204          0          0 X.25 Encaps Mana
  98   0        252     176476      13204          0          0 SSM connection m
  99   0          0          0       7204          0          0 AC Switch       
 100   0          0          0       7204          0          0 Authentication P
 101   0          0          0       7204          0          0 Auth-proxy AAA B
 102   0        252        252      10204          0          0 EAPoUDP Process 
 103   0        252        252      10204          0          0 IP Host Track Pr
 104   0        252        252      13204          0          0 KRB5 AAA        
 105   0    3373132          0     207056          0          0 IP Background   
 106   0       7648    3176280      17852          0          0 IP RIB Update   
 107   0        224          0      13428          0          0 CEF background p
 108   0      11340          0      19148          0          0 CEF: IPv4 proces
 109   0        296          0       7500          0          0 ADJ background  
 110   0        252        252      13204          0          0 PPP IP Route    
 111   0        252        252      13204          0          0 PPP IPCP        
 112   0          0          0       7204          0          0 IP Traceroute   
 113   0          0       1596      13204          0          0 TCP Timer       
 114   0     374744          0      15048          0          0 TCP Protocols   
 115   0          0          0       7204          0          0 Socket Timers   
 116   0        940          0      11144          0          0 HTTP CORE       
 117   0        252        252       7204          0          0 RLM groups Proce
 118   0          0          0      13204          0          0 L2X Data Daemon 
 119   0       1084        252      26036          0          0 Border Element p
 120   0       1388        252      26340          0          0 gk process      
 121   0          0          0       7204          0          0 ac_atm_state_eve
 122   0        252        252       7204          0          0 PPPoE Flow Contr
 123   0          0          0       7204          0          0 SNMP Timers     
 124   0        252        252       7240          0          0 RUDPV1 Main Proc
 125   0          0          0       7204          0          0 bsm_timers      
 126   0          0          0       7204          0          0 bsm_xmt_proc    
 127   0        940          0      62144          0          0 COPS            
 128   0        252        252       7204          0          0 Dialer Forwarder
 129   0        252        252       7204          0          0 Flow Exporter Ti
 130   0        252        252      13204          0          0 ATM OAM Input   
 131   0        252        252      13204          0          0 ATM OAM TIMER   
 132   0          0          0       7204          0          0 RARP Input      
